pred,lower,upper,date,state
67.42729480047537,61.0768200858207,74.43806140728816,2025-02-02,AL
71.44067776642405,64.5255520794162,79.09688914314845,2025-02-09,AL
76.72639834364473,67.72824735479126,86.92001391899582,2025-02-16,AL
1281.2465936173996,950.9353656363313,1726.2927565615312,2025-02-02,BA
1409.8194521504606,1054.2751465948247,1885.2677065199646,2025-02-09,BA
1531.677061856646,1105.7117570684434,2121.7415902656344,2025-02-16,BA
72.81688318884055,45.53388562928901,116.44730960378706,2025-02-02,CE
75.72392896699235,38.785350778039835,147.842247218884,2025-02-09,CE
78.49874343600176,34.21192442581822,180.1141802003105,2025-02-16,CE
83.96527436828895,48.27167671680565,146.05184197563918,2025-02-02,MA
123.12745411471515,71.41404815231026,212.28834310635338,2025-02-09,MA
177.52385436705538,103.89976366720414,303.31848463369573,2025-02-16,MA
223.1329199094603,157.74787916543755,315.61945688731765,2025-02-02,PB
338.2344596513402,238.98786280437935,478.69606578839904,2025-02-09,PB
527.6538197864063,374.12791636266843,744.1801088836543,2025-02-16,PB
238.57151512707392,145.3386185958572,391.6121425943566,2025-02-02,PE
241.54042780512606,124.77082044342741,467.5915254619661,2025-02-09,PE
245.08600523779094,108.14818062563265,555.4152609496762,2025-02-16,PE
137.7446836058572,99.55925466537887,190.57593315105098,2025-02-02,PI
166.14920488234486,120.17468079609834,229.71193349682406,2025-02-09,PI
173.35035241634637,121.86233632798378,246.59255343663457,2025-02-16,PI
136.696004247074,101.91724972092616,183.34283576413472,2025-02-02,RN
149.7480509086908,107.03166692487876,209.51256198495616,2025-02-09,RN
163.42571257025566,114.53071429970556,233.19476956378742,2025-02-16,RN
9880.45894592394,6459.289304790955,15113.65482727017,2025-02-02,MG
11984.397822546714,8378.03761084603,17143.130389284423,2025-02-09,MG
13690.719501795384,10238.790587641497,18306.43950302886,2025-02-16,MG
1473.7315520820268,1092.8018542342295,1987.4460124557777,2025-02-02,RJ
1878.6300781210605,1437.5318911354698,2455.0766436447375,2025-02-09,RJ
2632.681462585028,2026.005571506806,3421.0230124313143,2025-02-16,RJ
1118.6449600121143,775.9136019443815,1612.7653174588943,2025-02-02,ES
965.4824515207038,670.1035199138254,1391.0632260434957,2025-02-09,ES
895.1447902728138,625.0732092214508,1281.9045573087114,2025-02-16,ES
163.55050401531975,132.5016748472772,201.8749377658511,2025-02-02,AM
190.63197917791567,154.84496267514507,234.68991730476537,2025-02-09,AM
190.0475192877128,152.9711392552746,236.11028696818818,2025-02-16,AM
108.70816158293658,44.980685818475095,262.7230816896084,2025-02-02,AP
106.71348634369005,38.00705411810259,299.6224893473386,2025-02-09,AP
104.74119852697862,32.70375150508602,335.4574984206873,2025-02-16,AP
3.2703240509191844,2.0244284481813315,5.282982170907772,2025-02-02,RR
3.1752507856647294,1.8761752659355557,5.3738143418264155,2025-02-09,RR
3.711998326395864,2.1782614577625674,6.325655502034598,2025-02-16,RR
27.042008826017977,12.805433970601158,57.10624435105373,2025-02-02,RO
28.53529342111582,11.066449275812253,73.57942464968377,2025-02-09,RO
30.21177716114963,9.937754614116127,91.8468521992322,2025-02-16,RO
1504.739005371337,952.4739051118721,2377.2194305102516,2025-02-02,AC
1540.2133382758852,976.8934952022228,2428.3682295498083,2025-02-09,AC
1583.0013669920033,1058.6725361969504,2367.0145793149827,2025-02-16,AC
1570.0123009614617,993.8783244605972,2480.1211219774686,2025-02-02,PA
1553.206507859317,990.7831130556252,2434.8925857410054,2025-02-09,PA
1511.7818038922637,954.3199009666557,2394.882701560262,2025-02-16,PA
530.4660051998438,394.72583859441335,712.8851348437248,2025-02-02,DF
533.7399482721961,391.1481880578072,728.3130564815624,2025-02-09,DF
517.3065121180224,367.1732686419165,728.827641700395,2025-02-16,DF
4530.969485930918,3389.1953212321605,6057.391957856654,2025-02-02,GO
4884.101932610134,3608.4538684725267,6610.712664652612,2025-02-09,GO
