pred,lower,upper,date,state
43.23493935656957,33.44753957872136,55.88632242341176,2025-01-05,AL
42.39037822879187,32.1665336168635,55.863780281191765,2025-01-12,AL
41.23274167873443,29.872063178690645,56.914012807727445,2025-01-19,AL
428.9649104123113,294.3756679735305,625.0886686109807,2025-01-05,BA
449.69232828318104,285.62502686219256,708.0023495781279,2025-01-12,BA
425.0181806871963,260.2757153138324,694.0349916888848,2025-01-19,BA
42.04396591799382,28.939406270736445,61.08263084515733,2025-01-05,CE
48.82090459173912,30.950008608535267,77.01066436855164,2025-01-12,CE
47.36659218373847,27.909057881168145,80.389458671569,2025-01-19,CE
38.00728617941529,20.452936140829916,70.62818720879048,2025-01-05,MA
38.05667695377236,19.71117679112159,73.4766207066918,2025-01-12,MA
34.13161764588955,16.668379451950347,69.8908569056416,2025-01-19,MA
73.50896641912578,64.4211663769478,83.87876916711264,2025-01-05,PB
76.02314311173036,67.53250673540074,85.5812788237134,2025-01-12,PB
78.17152398703014,69.95174434332812,87.35718057955283,2025-01-19,PB
170.2822031521485,115.61473322588844,250.79873387500737,2025-01-05,PE
155.96992643424466,103.83136711186401,234.28968170760098,2025-01-12,PE
165.3416164500773,109.0634185873996,250.66012494754943,2025-01-19,PE
32.145026090895705,23.3065264594036,44.335336893046694,2025-01-05,PI
37.01290668382961,29.128041784832714,47.032178520810454,2025-01-12,PI
41.4408123890186,31.2713916178205,54.917317158446615,2025-01-19,PI
7.379257938997218,3.4824502814052662,15.636532708309035,2025-01-05,SE
6.852194759470113,2.7551878469641533,17.041514274043088,2025-01-12,SE
6.967033638568941,2.633285204391467,18.43308033630496,2025-01-19,SE
101.40109979823141,91.37067908182337,112.53263238946803,2025-01-05,RN
97.14126840744363,87.60422319901701,107.71656528897672,2025-01-12,RN
95.38011230616353,85.52120836391687,106.37555289004463,2025-01-19,RN
9700.407644503079,7932.546451627053,11862.257478521697,2025-01-05,SP
9729.3204902956,7930.413441686321,11936.285276793515,2025-01-12,SP
8755.475048893739,7066.230258342571,10848.548735203756,2025-01-19,SP
2361.4078473323143,1771.3433612897225,3148.032811313638,2025-01-05,MG
2162.9516033558157,1610.1058652950048,2905.6223812974686,2025-01-12,MG
2055.264897228497,1492.1079826448567,2830.9705778077478,2025-01-19,MG
288.65969541640777,166.58040487818934,500.205410227113,2025-01-05,RJ
269.28318137178064,130.69029025674658,554.8494201616019,2025-01-12,RJ
264.50729352273015,110.43426975353171,633.5362064951964,2025-01-19,RJ
1208.108940439669,851.4969495790808,1714.072155739072,2025-01-05,ES
1128.2333934192413,818.3452812540414,1555.4688457122572,2025-01-12,ES
1085.4707741886234,777.3183886355419,1515.78403244245,2025-01-19,ES
102.3791919222605,76.13329587766373,137.6729959976703,2025-01-05,AM
122.95756667850497,89.43832241096861,169.03898458682258,2025-01-12,AM
120.27334397635681,85.52591489963146,169.13794243804549,2025-01-19,AM
27.939752213104338,21.350017751070883,36.56342410724757,2025-01-05,AP
26.916145402575992,20.841699402587818,34.761027368174084,2025-01-12,AP
26.904149650618493,21.534813107842698,33.612238230164365,2025-01-19,AP
14.793889536205299,7.845668120836913,27.895542385764134,2025-01-05,TO
13.502080996735895,5.911419623412981,30.83966337296849,2025-01-12,TO
12.499494606582092,4.4898107519323505,34.79820733039413,2025-01-19,TO
6.945811635986179,3.2308786898017305,14.932253394373525,2025-01-05,RR
5.785500086637926,2.7330584729416496,12.247089326435376,2025-01-12,RR
6.390150954780517,3.0538177703302636,13.371468861570683,2025-01-19,RR
40.06018168048506,30.041619567711138,53.419828203880726,2025-01-05,RO
45.09172584240992,34.2147152073746,59.42658669299142,2025-01-12,RO
46.580347410138884,35.62977608660007,60.89650295796389,2025-01-19,RO
219.39199260124218,170.43922841966972,282.4047425222248,2025-01-05,AC
271.7122916589766,207.43259855546526,355.9111246385512,2025-01-12,AC
295.56023820893245,217.9761785558547,400.7587204660376,2025-01-19,AC
145.6977752194146,104.86410698443386,202.4319122560987,2025-01-05,PA
148.5837054675738,102.36304147089005,215.67469287001396,2025-01-12,PA
134.45497675525314,92.33013145333133,195.79892814723578,2025-01-19,PA
466.01813920930607,340.37624056258807,638.0377952149412,2025-01-05,DF
421.7042740955464,310.0609791211407,573.5468400264963,2025-01-12,DF
405.08318763592564,293.1608977498132,559.734910640507,2025-01-19,DF
2224.3532325395395,1853.0653055662328,2670.0339638581904,2025-01-05,GO
2115.010967514437,1745.8614392473912,2562.214441619548,2025-01-12,GO
1980.5732320279474,1620.5922375280866,2420.516547338852,2025-01-19,GO
372.48230992200865,214.96175050705716,645.4314354882421,2025-01-05,MT
411.6381105056605,204.27514220839217,829.4985488141739,2025-01-12,MT
441.3089666547359,194.92898995724985,999.1002574454545,2025-01-19,MT
106.62615037690911,69.78028813325271,162.92761535304476,2025-01-05,MS
108.11618118102945,69.46222566251951,168.28007628146594,2025-01-12,MS
104.3013934663916,65.99469292058986,164.84326538379779,2025-01-19,MS
60.37004625352263,24.32016357163833,149.85682451999008,2025-01-05,RS
54.26107140946206,21.817825353062748,134.9476321703817,2025-01-12,RS
47.62354921510334,18.94556992620121,119.71149185154799,2025-01-19,RS
409.39306169625036,230.51283143295365,727.0861145696276,2025-01-05,SC
295.7328061036282,165.01857871155914,529.9881582351788,2025-01-12,SC
232.63146682137452,129.60123539560277,417.5685454715997,2025-01-19,SC
1128.3529579345286,916.7683820983998,1388.7699691010343,2025-01-05,PR
1089.1049489985755,886.260356407519,1338.3759990588771,2025-01-12,PR
1073.0916167177434,874.510958489568,1316.7652236843144,2025-01-19,PR
27166.942223920738,24037.996368961973,30703.172530253538,2025-01-05,BR
26329.92349597338,23068.34371594835,30052.65049976348,2025-01-12,BR
19104.03332781595,16479.869828111794,22146.05413737778,2025-01-19,BR
