lower_95,pred,upper_95,date,state
51.43896283423016,63.57001199788437,78.56197331261069,2026-03-22,AL
57.71252639531523,70.06395904030607,85.05880201425677,2026-03-29,AL
57.349376624417694,69.73020763542793,84.78386589488517,2026-04-05,AL
341.3564758704992,453.5830426128909,602.7059425819081,2026-03-22,BA
371.88628136455833,485.7906618214828,634.5826101652076,2026-03-29,BA
380.85951702348035,489.77164263957366,629.8287195461564,2026-04-05,BA
192.74561857291124,228.50560864806033,270.9001302868466,2026-03-22,CE
193.4677588773329,239.7790852674503,297.17618100982367,2026-03-29,CE
199.04750520013422,251.03806767077538,316.60839635499383,2026-04-05,CE
243.97553432045498,459.2511925785332,864.4787210826577,2026-03-22,MA
230.06594626568835,438.5299564637182,835.8843446304123,2026-03-29,MA
238.4849077409383,456.7686714072506,874.846216288806,2026-04-05,MA
163.92881552432257,207.1036628194636,261.6497106750221,2026-03-22,PB
172.33524108223165,216.0945680916854,270.96525391721906,2026-03-29,PB
177.79276131003925,224.8172689635647,284.2793151521958,2026-04-05,PB
495.4539973052261,662.3935155792541,885.5820557869891,2026-03-22,PE
474.21675273586595,632.4379591870623,843.4492664232805,2026-03-29,PE
456.3373347838907,628.1199149889411,864.5679358945193,2026-04-05,PE
412.03591609242716,695.7305090480927,1174.7542442677227,2026-03-22,PI
450.0580583216029,762.552344024142,1292.0245879948104,2026-03-29,PI
488.96253495115354,840.963354082566,1446.3671802185193,2026-04-05,PI
159.36674794234426,193.246849809998,234.32959160965228,2026-03-22,RN
166.96637771614988,204.0349330980886,249.33315613467244,2026-03-29,RN
168.54386180496078,206.59701254126554,253.2416495853636,2026-04-05,RN
2635.906486120307,3809.754508645797,5506.352176214693,2026-03-22,MG
2702.20812755659,3758.218503265281,5226.912825200115,2026-03-29,MG
2795.667946704129,3883.0805741715944,5393.45696018189,2026-04-05,MG
296.13633439292335,382.5831837747618,494.26522688372575,2026-03-22,RJ
298.51418837121986,395.1987502022946,523.1980865419841,2026-03-29,RJ
317.6332307839243,424.66655099312095,567.7670408958993,2026-04-05,RJ
0.032714206487902506,0.15397788923147926,0.7247368320227844,2026-03-22,ES
0.018584988937906045,0.09711719719446535,0.5074929031392434,2026-03-29,ES
0.018246138053570053,0.0970590357285896,0.5162986484540171,2026-04-05,ES
64.62978965555648,92.47605732883785,132.32011468184115,2026-03-22,AM
66.72142401835772,94.57053456540973,134.0436919560742,2026-03-29,AM
66.80069288410489,96.62557322619911,139.76653531857556,2026-04-05,AM
15.222532148839196,20.379550871576534,27.283640439468325,2026-03-22,AP
14.6191905403155,19.352010528093608,25.617034708363796,2026-03-29,AP
14.40877810676276,19.1749873711668,25.517787695809933,2026-04-05,AP
3.6345182785876493,5.438835867868881,8.138887558191618,2026-03-22,RR
3.564244001873437,5.4775468557388995,8.417919632057922,2026-03-29,RR
4.07083874214092,6.13289628633062,9.239476000247295,2026-04-05,RR
47.178222065254786,56.97262505907465,68.80038848501638,2026-03-22,RO
47.504725623539166,56.52904714769688,67.26769030833242,2026-03-29,RO
47.17445932758225,56.40555821416297,67.44299866498096,2026-04-05,RO
22.20659049928264,33.36781915921667,50.13877999318061,2026-03-22,AC
16.805725546204684,25.71214449636005,39.33863925030009,2026-03-29,AC
16.221134299957818,25.407849102979874,39.797389264046345,2026-04-05,AC
243.054200130295,359.2039000804414,530.8587210746882,2026-03-22,PA
225.68009095444046,333.83545263877835,493.8233982767952,2026-03-29,PA
227.10417565199802,348.8371590881704,535.821779636375,2026-04-05,PA
137.8637348268427,181.48889973967457,238.91867408124529,2026-03-22,DF
133.15497019028396,170.79486778436984,219.0747128687271,2026-03-29,DF
126.9155599359824,167.2677531128497,220.44973244836098,2026-04-05,DF
3931.849320957054,5095.313641178557,6603.055962394003,2026-03-22,GO
4009.636344354627,5191.0492144181735,6720.557584842224,2026-03-29,GO
4157.789120883029,5385.058670284381,6974.585780879196,2026-04-05,GO
413.5297484018468,506.159234967217,619.5374628614123,2026-03-22,MT
432.69737675606734,533.2821024731644,657.2487287773021,2026-03-29,MT
436.05425989546603,549.9751369819883,693.6582877802125,2026-04-05,MT
102.50973690257027,134.84209400380428,177.37232447110978,2026-03-22,MS
101.44907781976168,131.20185438547958,169.68046397397035,2026-03-29,MS
97.9680263203381,128.74897141241027,169.2010981782166,2026-04-05,MS
