lower_95,pred,upper_95,date,state
87.66397760818282,110.48978934836506,139.25895086360484,2025-04-27,AL
82.41121461131235,106.08079645838161,136.54859269238221,2025-05-04,AL
81.70778460236673,104.93613253803693,134.76796569174746,2025-05-11,AL
629.9128781731567,821.668137961115,1071.7966759125331,2025-04-27,BA
525.5292140164444,683.8864553855557,889.9613406557162,2025-05-04,BA
608.2373944168892,790.7380673988281,1027.997780098789,2025-05-11,BA
203.26586612048567,234.4468245046389,270.41093799648735,2025-04-27,CE
204.0979688451091,232.91680951426025,265.80489978061934,2025-05-04,CE
204.4541133382438,231.2133354482996,261.4748395924208,2025-05-11,CE
120.69876754512991,199.6770460366612,330.33413285698185,2025-04-27,MA
103.3140755080177,171.38555456236128,284.3079044962137,2025-05-04,MA
122.50397643623313,204.52894395587663,341.475355597791,2025-05-11,MA
161.90788530280764,211.45396043376215,276.1618268282557,2025-04-27,PB
154.38434053861775,206.35334523580252,275.8162061090315,2025-05-04,PB
147.18502080438958,195.75675973286167,260.357397591688,2025-05-11,PB
437.32173440674035,613.0469256503604,859.3822430508636,2025-04-27,PE
383.37942088785184,540.7752792445841,762.7897761565125,2025-05-04,PE
418.0907963901097,589.2283246492065,830.4177503227231,2025-05-11,PE
178.4437289141665,263.88882706942854,390.2480265113441,2025-04-27,PI
152.00814216646802,229.03135921148424,345.08259067343056,2025-05-04,PI
149.22832612773618,219.64577230128117,323.29160650458687,2025-05-11,PI
246.24996453270361,353.72730117113855,508.11379336138015,2025-04-27,RN
199.16424924450493,293.79958259632224,433.4020541397679,2025-05-04,RN
182.8140050645051,267.4441031041271,391.25201737106096,2025-05-11,RN
3573.370877796142,4739.145070470124,6285.240678071752,2025-04-27,MG
2756.442049710954,3666.7097406600365,4877.577717863154,2025-05-04,MG
2882.9798186414773,3873.0324525116253,5203.081992185682,2025-05-11,MG
1055.002852246722,1357.8498781805376,1747.6315706146754,2025-04-27,RJ
792.6520937434445,1034.8597161450866,1351.0777812270758,2025-05-04,RJ
852.3746410985852,1121.389905023283,1475.308225344874,2025-05-11,RJ
656.1389439485238,1255.7475100103238,2403.3047016042397,2025-04-27,ES
718.7041902475127,1640.9609811712814,3746.6776711003504,2025-05-04,ES
712.855512757398,2015.7826559579546,5700.144900813542,2025-05-11,ES
181.91005922276818,216.44762126983673,257.5425072892665,2025-04-27,AM
172.9324213044485,206.95964240702455,247.68226375456214,2025-05-04,AM
164.20432820666952,200.6508629966726,245.1870134058634,2025-05-11,AM
26.10372842323491,52.93616781148474,107.35010022826481,2025-04-27,AP
25.408513026237774,51.57027998271583,104.66939858894571,2025-05-04,AP
26.24190618225469,53.22893845335273,107.9692865751788,2025-05-11,AP
3.802584474079945,7.821978513605898,16.08993785262744,2025-04-27,RR
3.6461609731456384,7.511550173373715,15.474738066331927,2025-05-04,RR
3.689230465952609,7.678452591086203,15.981282475486253,2025-05-11,RR
36.25146133872445,59.68152199012954,98.25490988561744,2025-04-27,RO
33.8411689401757,55.60629651639003,91.36978151478228,2025-05-04,RO
32.94410031477666,54.10987965301077,88.87415494998494,2025-05-11,RO
96.11896833227381,149.85239137733728,233.62443013203585,2025-04-27,AC
76.15377947354472,117.52054758206494,181.35776319264963,2025-05-04,AC
81.04290327584829,125.549148841176,194.4968422601069,2025-05-11,AC
300.87937135221813,491.31613567171223,802.2867905051701,2025-04-27,PA
254.19583676276437,436.13214871049644,748.2862566169983,2025-05-04,PA
230.28445027056094,402.5851196679148,703.802529383151,2025-05-11,PA
198.93469687986047,278.6861866049881,390.40947518237033,2025-04-27,DF
192.4027260833891,266.2012767138981,368.30621460839706,2025-05-04,DF
190.18543980434183,255.5277625240379,343.3198539683924,2025-05-11,DF
2773.6349761851666,3261.7523306874573,3835.770877600443,2025-04-27,GO
2234.924248250771,2628.8067869033603,3092.1070941343855,2025-05-04,GO
2054.2688788123046,2419.5197367847813,2849.7125264710667,2025-05-11,GO
671.2699652453306,836.7993888893166,1043.1469505560522,2025-04-27,MT
508.2719197507728,634.8775824218656,793.0195019616167,2025-05-04,MT
505.11264493134667,634.7932441483766,797.7675214826386,2025-05-11,MT
250.11179974606947,408.7853266166994,668.1229891063853,2025-04-27,MS
201.20246538770934,331.43868025308325,545.9754111671831,2025-05-04,MS
238.33300694707447,393.4567680955881,649.5459036213264,2025-05-11,MS
3015.1620234580914,5571.11309005949,10293.742366334096,2025-04-27,RS
3691.430427948125,6817.790252626273,12591.93822992972,2025-05-04,RS
4992.233588679592,9644.079538424476,18630.592597742932,2025-05-11,RS
297.8862045627846,534.6967480268976,959.7645274314177,2025-04-27,SC
240.99640395669908,434.0801757205677,781.8606247230733,2025-05-04,SC
253.39438857845605,460.5188653182439,836.9468104789515,2025-05-11,SC
3193.5883772954408,4817.196462288487,7266.240671860376,2025-04-27,PR
2921.4381537948034,4342.4496103887395,6454.652683395395,2025-05-04,PR
2387.198982593137,3680.4219526441693,5674.225671289068,2025-05-11,PR
28668.274289117464,57895.66114998491,116920.4517226997,2025-04-27,BR
21554.571054330456,50524.53665552693,118430.97215069951,2025-05-04,BR
17338.613391654246,44408.63466261114,113741.90011910233,2025-05-11,BR
8.817143307420048,11.135414499954207,14.063223400422743,2025-04-27,SE
9.031140624970574,11.414359177025409,14.426482858865755,2025-05-04,SE
9.151227008964161,11.506239789127354,14.467300828097727,2025-05-11,SE
15524.611595967197,27936.07739014964,50270.14138963447,2025-04-27,SP
12608.0181857713,22252.60954211291,39274.89825423676,2025-05-04,SP
10815.259419477394,17932.187083968216,29732.373597560436,2025-05-11,SP
70.19443973533353,97.10359549911335,134.3284210887309,2025-04-27,TO
70.9276350397673,99.63887786186508,139.9723249760879,2025-05-04,TO
