lower_95,pred,upper_95,date,state
64.34530481539703,79.55021217632239,98.34806557297779,2025-11-16,AL
60.76681404582059,78.09358369608906,100.3608286901379,2025-11-23,AL
56.754675447996746,74.43642501685758,97.62687083581646,2025-11-30,AL
235.27253469926873,294.105744866977,367.65102766595135,2025-11-16,BA
240.80426529348628,293.2230618643135,357.052496160286,2025-11-23,BA
236.70615274261195,289.8448700969306,354.91282228247314,2025-11-30,BA
42.826774011074576,63.887845121484105,95.3061921780815,2025-11-16,CE
44.987687574122184,66.80615586884382,99.20630960679779,2025-11-23,CE
41.19597794370394,61.62819490894231,92.19430141759854,2025-11-30,CE
25.64637344400716,31.335361331220238,38.28630476359129,2025-11-16,MA
28.243447356026756,34.11113235021322,41.19785150680175,2025-11-23,MA
28.201333121224486,36.882052829362706,48.234805605134405,2025-11-30,MA
85.01484212527335,108.42790890310752,138.2889285588117,2025-11-16,PB
81.65580002263283,103.06454585975449,130.08629650720724,2025-11-23,PB
81.16903682913343,99.9799015938609,123.15017047399928,2025-11-30,PB
351.16746057073226,449.1623704247085,574.5032147273996,2025-11-16,PE
325.11315773827374,427.4833831978557,562.0875026454567,2025-11-23,PE
303.997965105386,405.68775603841954,541.3936088106145,2025-11-30,PE
31.13584528113132,44.29801653343719,63.02428121281357,2025-11-16,PI
31.13134487744725,40.27903378969895,52.11469563613486,2025-11-23,PI
25.346125918754943,36.65764264519207,53.01728432226671,2025-11-30,PI
93.99107843154395,113.13178425941015,136.17037726659777,2025-11-16,RN
89.75176377943593,111.29416159997609,138.00720882411875,2025-11-23,RN
85.128031978035,108.44643173308111,138.1522429494474,2025-11-30,RN
1442.188907403682,1991.2822873990701,2749.4353394020213,2025-11-16,MG
1602.3464526424923,2284.7163543018323,3257.678020259517,2025-11-23,MG
1613.7169260907156,2319.519736719281,3334.024525642135,2025-11-30,MG
167.09910696376997,208.99881105102654,261.4047663953907,2025-11-16,RJ
166.99671679998843,208.97111630445633,261.4957245047685,2025-11-23,RJ
171.30793256367065,213.65737264967888,266.4761182065929,2025-11-30,RJ
0.040035156893335484,0.18307194432020393,0.8371476321792316,2025-11-16,ES
0.025378799190743845,0.12631299625487638,0.6286732836714949,2025-11-23,ES
0.02138338989017571,0.11044280251369766,0.570424646874331,2025-11-30,ES
85.30988714180432,116.10254858366618,158.0098419918911,2025-11-16,AM
94.94582623086491,130.13630288253475,178.36968722306466,2025-11-23,AM
