pred,lower,upper,date,state
491.77877296928193,347.08111068606377,696.8007019025691,2025-04-06,AL
577.1042956665119,393.83242762718834,845.6626339363138,2025-04-13,AL
698.3579392696148,467.5422994384611,1043.122326956634,2025-04-20,AL
1247.2489946323333,903.2957550824591,1722.171332986456,2025-04-06,BA
1232.9224608165264,913.7771059207989,1663.5323696954522,2025-04-13,BA
1256.280976980954,934.6582971178822,1688.5763470895147,2025-04-20,BA
292.296261078539,238.87994100273247,357.65708866914076,2025-04-06,CE
282.53006077298477,234.94088410201226,339.75881015978,2025-04-13,CE
295.57966981371527,244.87128558914094,356.78883702916016,2025-04-20,CE
311.92447591785253,202.30563572310996,480.9400308046507,2025-04-06,MA
286.99820986269,188.09249582695878,437.91206077761575,2025-04-13,MA
310.12835704933104,205.92264544370343,467.0666387316376,2025-04-20,MA
187.28941965673948,169.7716873333365,206.61470275951288,2025-04-06,PB
182.75158798124545,165.67951707435358,201.58281180092098,2025-04-13,PB
174.26334450875672,158.41289218974921,191.69975889969075,2025-04-20,PB
511.0733331981035,450.9348044764223,579.2321845937192,2025-04-06,PE
533.5332616923623,468.1203581757784,608.0866519913288,2025-04-13,PE
531.9888827506019,460.37328679020675,614.7449895354223,2025-04-20,PE
457.3884402832329,323.8805375338828,645.9300916864836,2025-04-06,PI
394.35217565746535,277.0527430652083,561.314198607931,2025-04-13,PI
440.79434158782186,312.66515119927715,621.4304690835354,2025-04-20,PI
240.10953563585062,211.06036241138617,273.1568753345114,2025-04-06,RN
252.26279754668204,222.2227940711258,286.36359871215745,2025-04-13,RN
263.75200631351174,227.5199113854906,305.75399054431523,2025-04-20,RN
8165.36719749441,5420.656893771917,12299.841656925775,2025-04-06,MG
8294.495757467543,5604.352200693047,12275.934382235873,2025-04-13,MG
8514.836151169447,5871.147291981797,12348.938133485153,2025-04-20,MG
3052.2753120761577,2016.4345968173352,4620.226510403182,2025-04-06,RJ
3041.746857424123,2082.3784026186577,4443.104064570857,2025-04-13,RJ
3201.6036177942747,2183.264047871483,4694.92718275035,2025-04-20,RJ
652.8537646656677,152.8062122666151,2789.2716645215496,2025-04-06,ES
684.8306704030313,166.34606532981465,2819.381667939014,2025-04-13,ES
781.5567634173481,138.84487640160503,4399.377134209749,2025-04-20,ES
231.15829392565684,193.5283098618707,276.1051181026619,2025-04-06,AM
238.13348306333214,200.27925583814118,283.1424328923181,2025-04-13,AM
239.82495255426323,200.52978360095153,286.8202759451923,2025-04-20,AM
117.69155145798213,79.45236924524339,174.3346537827265,2025-04-06,AP
106.02873060089739,73.43369592958247,153.09173221538535,2025-04-13,AP
102.68138637121102,71.75567543712376,146.93565411913207,2025-04-20,AP
8.4303837058425,5.215273130385598,13.627545029934021,2025-04-06,RR
9.272924707652775,5.61435002989571,15.315598809466204,2025-04-13,RR
10.65374885084313,6.445940744810811,17.608347496556547,2025-04-20,RR
225.56630063847797,173.2800668012161,293.6295958501508,2025-04-06,RO
